alpha_max,cast_cap,k_shrink,precision,recall
0.9,0.25,3,0.007401315789473684,0.07401315789473684
0.89,0.25,3,0.007401315789473684,0.07401315789473684
0.89,0.3,3,0.007401315789473684,0.07401315789473684
0.89,0.29,3,0.007401315789473684,0.07401315789473684
0.89,0.28,3,0.007401315789473684,0.07401315789473684
0.89,0.27,3,0.007401315789473684,0.07401315789473684
0.89,0.26,3,0.007401315789473684,0.07401315789473684
0.88,0.26,3,0.007401315789473684,0.07401315789473684
0.85,0.28,3,0.007401315789473684,0.07401315789473684
0.88,0.29,3,0.007401315789473684,0.07401315789473684
0.84,0.3,3,0.007401315789473684,0.07401315789473684
0.88,0.3,3,0.007401315789473684,0.07401315789473684
0.83,0.3,3,0.007401315789473684,0.07401315789473684
0.86,0.28,3,0.007401315789473684,0.07401315789473684
0.86,0.29,3,0.007401315789473684,0.07401315789473684
0.86,0.27,3,0.007401315789473684,0.07401315789473684
0.86,0.3,3,0.007401315789473684,0.07401315789473684
0.87,0.27,3,0.007401315789473684,0.07401315789473684
0.87,0.3,3,0.007401315789473684,0.07401315789473684
0.85,0.29,3,0.007401315789473684,0.07401315789473684
0.85,0.3,3,0.007401315789473684,0.07401315789473684
0.88,0.27,3,0.007401315789473684,0.07401315789473684
0.9,0.28,3,0.007401315789473684,0.07401315789473684
0.9,0.3,3,0.007401315789473684,0.07401315789473684
0.9,0.27,3,0.007401315789473684,0.07401315789473684
0.9,0.26,3,0.007401315789473684,0.07401315789473684
0.9,0.29,3,0.007401315789473684,0.07401315789473684
0.87,0.29,3,0.007401315789473684,0.07401315789473684
0.87,0.28,3,0.007401315789473684,0.07401315789473684
0.88,0.28,3,0.007401315789473684,0.07401315789473684
0.81,0.3,3,0.007236842105263158,0.07236842105263158
0.81,0.29,3,0.007236842105263158,0.07236842105263158
0.82,0.28,3,0.007236842105263158,0.07236842105263158
0.83,0.27,3,0.007236842105263158,0.07236842105263158
0.84,0.29,3,0.007236842105263158,0.07236842105263158
0.88,0.24,3,0.007236842105263158,0.07236842105263158
0.85,0.25,3,0.007236842105263158,0.07236842105263158
0.85,0.26,3,0.007236842105263158,0.07236842105263158
0.89,0.24,3,0.007236842105263158,0.07236842105263158
0.89,0.29,5,0.007236842105263158,0.07236842105263158
0.89,0.3,5,0.007236842105263158,0.07236842105263158
0.82,0.29,3,0.007236842105263158,0.07236842105263158
0.82,0.3,3,0.007236842105263158,0.07236842105263158
0.83,0.29,3,0.007236842105263158,0.07236842105263158
0.83,0.28,3,0.007236842105263158,0.07236842105263158
0.88,0.3,5,0.007236842105263158,0.07236842105263158
0.84,0.26,3,0.007236842105263158,0.07236842105263158
0.84,0.27,3,0.007236842105263158,0.07236842105263158
0.84,0.28,3,0.007236842105263158,0.07236842105263158
0.88,0.25,3,0.007236842105263158,0.07236842105263158
0.87,0.24,3,0.007236842105263158,0.07236842105263158
0.86,0.26,3,0.007236842105263158,0.07236842105263158
0.9,0.29,5,0.007236842105263158,0.07236842105263158
0.87,0.26,3,0.007236842105263158,0.07236842105263158
0.87,0.25,3,0.007236842105263158,0.07236842105263158
0.9,0.3,5,0.007236842105263158,0.07236842105263158
0.9,0.28,5,0.007236842105263158,0.07236842105263158
0.85,0.27,3,0.007236842105263158,0.07236842105263158
0.86,0.25,3,0.007236842105263158,0.07236842105263158
0.89,0.26,5,0.007072368421052632,0.07072368421052631
0.89,0.22,3,0.007072368421052632,0.07072368421052631
0.85,0.24,3,0.007072368421052632,0.07072368421052631
0.88,0.27,5,0.007072368421052632,0.07072368421052631
0.85,0.3,5,0.007072368421052632,0.07072368421052631
0.85,0.28,5,0.007072368421052632,0.07072368421052631
0.88,0.25,5,0.007072368421052632,0.07072368421052631
0.87,0.3,5,0.007072368421052632,0.07072368421052631
0.88,0.26,5,0.007072368421052632,0.07072368421052631
0.82,0.24,3,0.007072368421052632,0.07072368421052631
0.81,0.26,3,0.007072368421052632,0.07072368421052631
0.81,0.28,3,0.007072368421052632,0.07072368421052631
0.89,0.28,5,0.007072368421052632,0.07072368421052631
0.82,0.27,3,0.007072368421052632,0.07072368421052631
0.82,0.23,3,0.007072368421052632,0.07072368421052631
0.82,0.25,3,0.007072368421052632,0.07072368421052631
0.81,0.27,3,0.007072368421052632,0.07072368421052631
0.81,0.25,3,0.007072368421052632,0.07072368421052631
0.83,0.25,3,0.007072368421052632,0.07072368421052631
0.83,0.24,3,0.007072368421052632,0.07072368421052631
0.83,0.28,5,0.007072368421052632,0.07072368421052631
0.89,0.25,5,0.007072368421052632,0.07072368421052631
0.83,0.23,3,0.007072368421052632,0.07072368421052631
0.8,0.25,3,0.007072368421052632,0.07072368421052631
0.8,0.24,3,0.007072368421052632,0.07072368421052631
0.8,0.26,3,0.007072368421052632,0.07072368421052631
0.8,0.27,3,0.007072368421052632,0.07072368421052631
0.82,0.29,5,0.007072368421052632,0.07072368421052631
0.89,0.27,5,0.007072368421052632,0.07072368421052631
0.83,0.26,3,0.007072368421052632,0.07072368421052631
0.89,0.23,3,0.007072368421052632,0.07072368421052631
0.82,0.26,3,0.007072368421052632,0.07072368421052631
0.89,0.24,5,0.007072368421052632,0.07072368421052631
0.79,0.29,3,0.007072368421052632,0.07072368421052631
0.81,0.24,3,0.007072368421052632,0.07072368421052631
0.8,0.3,3,0.007072368421052632,0.07072368421052631
0.8,0.29,3,0.007072368421052632,0.07072368421052631
0.8,0.28,3,0.007072368421052632,0.07072368421052631
0.76,0.28,3,0.007072368421052632,0.07072368421052631
0.81,0.23,3,0.007072368421052632,0.07072368421052631
0.79,0.26,3,0.007072368421052632,0.07072368421052631
0.79,0.28,3,0.007072368421052632,0.07072368421052631
0.78,0.29,3,0.007072368421052632,0.07072368421052631
0.79,0.25,3,0.007072368421052632,0.07072368421052631
0.79,0.27,3,0.007072368421052632,0.07072368421052631
0.78,0.28,3,0.007072368421052632,0.07072368421052631
0.78,0.26,3,0.007072368421052632,0.07072368421052631
0.78,0.27,3,0.007072368421052632,0.07072368421052631
0.77,0.28,3,0.007072368421052632,0.07072368421052631
0.77,0.27,3,0.007072368421052632,0.07072368421052631
0.9,0.24,5,0.007072368421052632,0.07072368421052631
0.9,0.24,3,0.007072368421052632,0.07072368421052631
0.9,0.23,3,0.007072368421052632,0.07072368421052631
0.9,0.21,3,0.007072368421052632,0.07072368421052631
0.9,0.25,5,0.007072368421052632,0.07072368421052631
0.9,0.26,5,0.007072368421052632,0.07072368421052631
0.9,0.22,3,0.007072368421052632,0.07072368421052631
0.87,0.27,5,0.007072368421052632,0.07072368421052631
0.87,0.28,5,0.007072368421052632,0.07072368421052631
0.87,0.25,5,0.007072368421052632,0.07072368421052631
0.86,0.29,5,0.007072368421052632,0.07072368421052631
0.86,0.3,5,0.007072368421052632,0.07072368421052631
